Index,Call Number,Title,Barcode,Notes,Image_barcode,Image_1,Image_2,Image_3,Year,Author,Interventions,Location-Building,Location-Shelf,Class,Subclass,Decade2,Language,Location,,
BMC-BS-0014,BS620 .B71 1822 (vol. 1),"Oriental literature applied to the illustration of the Sacred Scripture : especially with reference to antiquities, traditions, and manners : collected from the most celebrated writers and travellers, ancient and modern : designed as a sequel to Oriental customs /",3.1796E+13,,,,,,1822,"Burder, Samuel, 1773-1837.",No,Canaday Library,Stacks (Monographs),B,BS,1820s,English,enk,,
BMC-PR-0046,PR1173 .B66 1822 (vol. 73-74),The British poets : including translations.,3.1796E+13,,,,,,1822,,No,Canaday Library,Stacks (Monographs),P,PR,1820s,English,enk,,
BMC-PR-0059,PR1281 .B7 v.1,"Clarissa; or, The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage .",3.1796E+13,,,,,,1820],"Richardson, Samuel, 1689-1761.",No,Canaday Library,Stacks (Monographs),P,PR,1820s,English,enk,,
BMC-PR-0127,PR2752 .M3 1821 (vol. 10),"Plays and poems : with the corrections and illustrations of various commentators, comprehending a life of the poet & an enlarged history of the stage /",3.1796E+13,,B_Images/BMC-PR-0127.Image_barcode.183608.jpg,B_Images/BMC-PR-0127.Image_1.183558.jpg,,,1821,"Shakespeare, William, 1564-1616.",No,Canaday Library,Stacks (Monographs),P,PR,1820s,English,enk,,
BMC-D-0024,D16.8 .H5 (vol. 2),Idées sur la philosophe de l'histoire de l'humanité /,3.1796E+13,,,,,,1827-28.,"Herder, Johann Gottfried, 1744-1803.",No,Canaday Library,Stacks (Monographs),D,D,1820s,French,fr ,,
BMC-DD-0052,DD491.R457 G6,In sachen der Rheinprovinzen & in eigeener angelegenheit.,31796100554613,,,,,,1822.,"Görres, Joseph von, 1776-1848.",No,Canaday Library,Stacks (Monographs),D,DD,1820s,German,gw ,,
BMC-BV-0001,BV2 .S6 (vol. 3),A collection of essays and tracts /,3.1796E+13,,,,,,1823-1826.,"Sparks, Jared, 1789-1866.",No,Canaday Library,Stacks (Monographs),B,BV,1820s,English,mau,,
BMC-PR-0193,PR3476 .A16 1837,"The miscellaneous works of Edward Gibbon, Esq.: with memoirs of his life and writings,",3.17961E+13,,B_Images/BMC-PR-0193.Image_barcode.195155.jpg,B_Images/BMC-PR-0193.Image_1.195216.jpg,B_Images/BMC-PR-0193.Image_2.195329.jpg,,1837,"Gibbon, Edward, 1737-1794.",Yes,Canaday Library,Stacks (Monographs),P,PR,1830s,English,enk,,
BMC-BV-0036,BV5081 .G499 (vol. 2),(Die) christliche mystik.,3.1796E+13,,,B_Images/BMC-BV-0036.Image_1.161509.jpg,B_Images/BMC-BV-0036.Image_2.161647.jpg,B_Images/BMC-BV-0036.Image_3.161816.jpg,1836-42.,"Görres, Joseph von, 1776-1848.",Yes,Canaday Library,Stacks (Monographs),B,BV,1830s,German,gw ,,
BMC-BS-0039,BS2341 .C3 1834 (vol. 7),Ioannis Calvini in Novum Testamentum commentarii /,3.1796E+13,,B_Images/BMC-BS-0039.Image_barcode.160401.jpg,B_Images/BMC-BS-0039.Image_1.160412.jpg,B_Images/BMC-BS-0039.Image_2.160422.jpg,,1834-1838.,"Calvin, Jean, 1509-1564.",Yes,Canaday Library,Stacks (Monographs),B,BS,1830s,Latin,gw ,,
